id,province_code,city_code,district_code,district,created_at,updated_at
335,32,3206,320601,CIPATUJAH,,
336,31,3175,317510,CIPAYUNG,,
337,32,3276,327607,CIPAYUNG,,
338,32,3278,327802,CIPEDES,,
339,36,3601,360115,CIPEUCANG,,
340,53,5306,530615,LEWOLEMA,,
341,73,7312,731202,LILIRIAJA,,
342,32,3213,321320,CIPEUNDEUY,,
343,34,3471,347104,DANUREJAN,,
344,73,7312,731203,LILIRILAU,,
345,36,3673,367305,CIPOCOK JAYA,,
346,36,3671,367105,CIPONDOH,,
347,32,3217,321712,CIPONGKOR,,
348,32,3213,321318,CIPUNAGARA,,
349,36,3674,367404,CIPUTAT,,
350,36,3674,367405,CIPUTAT TIMUR,,
351,32,3202,320226,CIRACAP,,
352,31,3175,317509,CIRACAS,,
353,32,3203,320305,CIRANJANG,,
354,32,3202,320235,CIREUNGHAS,,
355,36,3602,360227,CIRINTEN,,
356,36,3604,360409,CIRUAS,,
357,32,3202,320229,CISAAT,,
358,63,6304,630406,MANDASTANA,,
359,32,3206,320632,CISAYONG,,
360,32,3201,320133,CISEENG,,
361,32,3205,320535,CISEWU,,
362,32,3211,321105,CISITU,,
363,36,3603,360305,CISOKA,,
364,36,3672,367208,CITANGKIL,,
365,32,3201,320103,CITEUREUP,,
366,76,7601,760105,DAPURANG,,
367,32,3214,321406,DARANGDAN,,
368,32,3208,320817,DARMA,,
369,32,3211,321103,DARMARAJA,,
370,11,1103,110301,DARUL AMAN,,
371,95,9502,950215,SERAMBAKON,,
372,36,3672,367204,CIWANDAN,,
373,12,1274,127405,DATUK BANDAR,,
374,13,1304,130404,LIMA KAUM,,
375,62,6202,620212,SERANAU,,
376,12,1219,121904,LIMA PULUH,,
377,61,6105,610514,SERAWAI,,
378,32,3213,321315,COMPRENG,,
379,14,1404,140418,CONCONG,,
380,32,3211,321107,CONGGEANG,,
381,53,5319,531912,CONGKAR,,
382,11,1108,110817,COT GIREK,,
383,32,3203,320311,CUGENANG,,
384,18,1806,180609,CUKUH BALAK,,
385,32,3206,320610,CULAMEGA,,
386,35,3511,351107,CURAHDAMI,,
387,63,6307,630711,LIMPASU,,
388,36,3603,360317,CURUG,,
389,36,3602,360223,CURUG BITUNG,,
390,32,3202,320242,CURUGKEMBAR,,
391,33,3325,332508,LIMPUNG,,
392,15,1503,150302,LIMUN,,
393,17,1702,170218,CURUP SELATAN,,
394,16,1610,161010,PEMULUTAN BARAT,,
395,72,7210,721004,LINDU,,
396,64,6407,640715,LINGGANG BIGUNG,,
397,13,1301,130109,LINGGO SARI BAGANTI,,
398,52,5201,520112,LINGSAR,,
399,16,1609,160905,SIMPANG,,
400,16,1673,167306,LUBUK LINGGAU BARAT II,,
401,16,1673,167303,LUBUK LINGGAU SELATAN I,,
402,18,1811,181105,SIMPANG PEMATANG,,
403,19,1906,190607,SIMPANG PESAK,,
404,72,7201,720117,SIMPANG RAYA,,
405,19,1906,190606,SIMPANG RENGGIANG,,
406,19,1903,190304,SIMPANG RIMBA,,
407,16,1611,161105,LINTANG KANAN,,
408,62,6207,620708,DANAU SELULUK,,
409,13,1304,130406,LINTAU BUO,,
410,15,1571,157110,DANAU SIPIN,,
411,13,1304,130413,LINTAU BUO UTARA,,
412,12,1216,121605,LINTONG NIHUTA,,
413,53,5308,530812,LIO TIMUR,,
414,16,1673,167307,LUBUK LINGGAU SELATAN II,,
415,19,1905,190502,SIMPANG TERITIP,,
416,64,6472,647210,LOA JANAN ILIR,,
417,13,1304,130411,PADANG GANTING,,
418,95,9504,950439,DANIME,,
419,13,1308,130817,PADANG GELUGUR,,
420,18,1807,180717,MELINTING,,
421,31,3174,317402,SETIABUDI,,
422,16,1603,160302,MUARA ENIM,,
423,11,1114,111408,DARUL HIKMAH,,
424,53,5314,531411,LOAHOLU,,
425,33,3306,330615,LOANO,,
426,53,5314,531403,LOBALAIN,,
427,72,7201,720116,LOBU,,
428,35,3518,351804,LOCERET,,
429,63,6305,630510,LOKPAIKAT,,
430,16,1673,167301,LUBUK LINGGAU TIMUR I,,
431,11,1115,111505,DARUL MAKMUR,,
432,11,1106,110612,DARUSSALAM,,
433,35,3529,352914,DASUK,,
434,92,9206,920613,DATARAN BEIMES,,
435,92,9211,921104,DATARAN ISIM,,
436,12,1272,127201,SIANTAR TIMUR,,
437,14,1408,140806,DAYUN,,
438,13,1309,130907,SIBERUT TENGAH,,
439,62,6202,620208,MENTAYA HILIR SELATAN,,
440,62,6202,620207,MENTAYA HILIR UTARA,,
441,62,6202,620203,MENTAYA HULU,,
442,63,6306,630610,LOKSADO,,
443,35,3507,350722,DAU,,
444,51,5105,510504,DAWAN,,
445,35,3516,351617,DAWARBLANDONG,,
446,33,3319,331909,DAWE,,
447,95,9503,950335,LOLAT,,
448,71,7101,710114,LOLAYAN,,
449,32,3210,321012,DAWUAN,,
450,32,3213,321327,DAWUAN,,
451,53,5312,531210,LOLI,,
452,82,8201,820102,LOLODA,,
453,82,8203,820319,LOLODA KEPULAUAN,,
454,82,8201,820110,LOLODA TENGAH,,
